ItemNumber,ParentNumber,PartNumber,Description,HierarchyLevel,ParentItemNumber,Category,ItemName,ChineseName,Status,Quantity,SpareQuantity,UnitPrice,TotalPrice,DeliveryDate,MinimumOrderQuantity,AirBox,Packaging,Label,Resource,Notes,CustomField1,CustomField2,CustomField3,CustomField4,CustomField5,CustomField6,CustomField7,CustomField8,CustomField9,ResourceFilePath,ResourceFileName,ResourceFileType,IsHighlighted
IT001,,PN001,主装配体,0,,装配件,PN001,主装配体,已确认,1,0,0,0,,1,,,,,主要装配体，包含多个子部件,,,,,,,,,,,,,False
IT002,IT001,PN002,支撑架,1,IT001,结构件,PN002,支撑架,初步确认,2,0,0,0,,1,,,,,支撑主体结构,,,,,,,,,,,,,False
IT004,IT002,PN004,固定螺栓,2,IT002,标准件,PN004,固定螺栓,未处理,8,0,0,0,,1,,,,,标准螺栓,,,,,,,,,,,,,False
IT003,IT001,PN003,连接板,1,IT001,连接件,PN003,连接板,待确认,4,0,0,0,,1,,,,,用于连接各部件,,,,,,,,,,,,,False
IT005,,PN005,电气组件,0,,电气件,PN005,电气组件,待确认,1,0,0,0,,1,,,,,电气控制相关组件,,,,,,,,,,,,,False
IT006,,PN006,新建条目,0,,通用,PN006,新建条目,未处理,1,0,0,0,,1,,,,,,,,,,,,,,,,,,False
IT007,,PN007,新建条目,0,,通用,PN007,新建条目,未处理,1,0,0,0,,1,,,,,,,,,,,,,,,,,,False
IT008,,PN008,新建条目,0,,通用,PN008,新建条目,未处理,1,0,0,0,,1,,,,,,,,,,,,,,,,,,False
IT009,,PN009,新建条目,0,,通用,PN009,新建条目,未处理,1,0,0,0,,1,,,,,,,,,,,,,,,,,,False
IT010,,PN010,新建条目,0,,通用,PN010,新建条目,未处理,1,0,0,0,,1,,,,,,,,,,,,,,,,,,False
IT011,,PN011,新建条目,0,,通用,PN011,新建条目,未处理,1,0,0,0,,1,,,,,,,,,,,,,,,,,,False
IT012,,PN012,新建条目,0,,通用,PN012,新建条目,未处理,1,0,0,0,,1,,,,,,,,,,,,,,,,,,False
IT013,,PN013,新建条目,0,,通用,PN013,新建条目,未处理,1,0,0,0,,1,,,,,,,,,,,,,,,,,,False
IT014,,PN014,新建条目,0,,通用,PN014,新建条目,未处理,1,0,0,0,,1,,,,,,,,,,,,,,,,,,False
IT015,,PN015,新建条目,0,,通用,PN015,新建条目,未处理,1,0,0,0,,1,,,,,,,,,,,,,,,,,,False
IT016,,PN016,新建条目,0,,通用,PN016,新建条目,未处理,1,0,0,0,,1,,,,,,,,,,,,,,,,,,False
IT017,,PN017,新建条目,0,,通用,PN017,新建条目,未处理,1,0,0,0,,1,,,,,,,,,,,,,,,,,,False
IT018,,PN018,新建条目,0,,通用,PN018,新建条目,未处理,1,0,0,0,,1,,,,,,,,,,,,,,,,,,False
IT019,,PN019,新建条目,0,,通用,PN019,新建条目,未处理,1,0,0,0,,1,,,,,,,,,,,,,,,,,,False
IT008,,PN008,新建条目,0,,通用,PN008,新建条目,未处理,1,0,0,0,,1,,,,,,,,,,,,,,,,,,False
IT009,,PN009,新建条目,0,,通用,PN009,新建条目,未处理,1,0,0,0,,1,,,,,,,,,,,,,,,,,,False
